SolCAP.T.number	Market.Class	PC1	PC2	PC3
281	SCT_0327	Vintage	25.4469831649587	10.5454134418785	4.56565634801763
282	SCT_0329	Vintage	9.17098302219681	-16.6338838178888	-3.24818098742659
283	SCT_0330	Vintage	19.4033408938281	11.851655157952	4.37186305680299
284	SCT_0331	Vintage	24.0247121071473	11.9904711142189	5.56382904420657
285	SCT_0332	Vintage	27.1897459022263	12.5112437039203	5.26839693363581
286	SCT_0333	Vintage	26.3319480235726	9.1448337212471	4.61691956901676
287	SCT_0334	Vintage	23.0669158307579	11.5113274729301	5.22907683755467
288	SCT_0335	Vintage	26.7046574118474	11.6748931270477	5.67746275606683
289	SCT_0336	Processing	4.73341429939559	-3.54853835421945	6.08839143582967
290	SCT_0337	Vintage	25.4400924156806	12.4359754642353	4.36421627010385
291	SCT_0338	Vintage	25.9867350388155	9.60913066619887	4.04944700627761
292	SCT_0340	Processing	-22.123661509336	-4.7826328163789	5.01332316424615
293	SCT_0357	Vintage	27.31595130492	11.3820205499874	6.16351620260313
294	SCT_0358	Vintage	27.6476726032733	12.4930606870434	5.79193929245541
295	SCT_0359	Vintage	25.8138068122634	11.5979219418594	5.70188452814512
296	SCT_0360	Vintage	26.8264859934712	12.4998985074832	4.95396017709737
297	SCT_0361	Vintage	25.6187283668037	10.7589128274508	4.79689461319216
298	SCT_0362	Vintage	25.8745782292024	11.7781027283532	4.46168396727935
299	SCT_0363	Vintage	25.2222835876548	12.1211194715095	4.91774773481286
300	SCT_0364	Vintage	25.5158698964678	10.4826577014012	4.32864239130049
301	SCT_0365	Vintage	21.0599717360054	11.3590703813722	5.92037935227367
302	SCT_0366	Vintage	24.3311665037345	9.30658881189689	5.15932007153846
303	SCT_0369	Vintage	10.918000869207	-19.8439784139114	-7.04863178680556
304	SCT_0478	Processing	-13.6693562765532	10.6740316072543	-0.686214284106529
305	SCT_0479	Vintage	27.3465229543827	11.2447786352003	6.26836250869405
306	SCT_0480	Vintage	26.9468691795346	11.7068291671343	4.92708105719201
307	SCT_0482	Vintage	25.9665146420282	13.4674710725113	5.4048562303966
308	SCT_0483	Vintage	26.9096062156238	12.066901457818	5.6240233477918
309	SCT_0486	Fresh market	27.0351884182835	13.7197028255089	5.56981318142798
310	SCT_0487	Fresh market	12.886519564409	-5.874999382642	-12.9446761065609
311	SCT_0492	Fresh market	-2.06785278503187	-30.3849699054418	-0.670597139169203
312	SCT_0506	Fresh market	-3.54779379711379	-25.0159198820907	-4.83883948211765
