SolCAP.T.number	Market.Class
SCT_0414	Wild Cherry
SCT_0415	Wild Cherry
SCT_0416	Wild Cherry
SCT_0417	Wild Cherry
SCT_0424	Wild Cherry
SCT_0427	Wild Cherry
SCT_0428	Wild Cherry
SCT_0429	Wild Cherry
SCT_0433	Wild Cherry
SCT_0434	Wild Cherry
SCT_0435	Wild Cherry
SCT_0441	Wild Cherry
SCT_0442	Wild Cherry
SCT_0443	Wild Cherry
SCT_0444	Wild Cherry
SCT_0447	Wild Cherry
SCT_0448	Wild Cherry
SCT_0449	Wild Cherry
SCT_0450	Wild Cherry
SCT_0453	Wild Cherry
SCT_0456	Wild Cherry
SCT_0461	Wild Cherry
SCT_0462	Wild Cherry
SCT_0466	Wild Cherry
SCT_0467	Wild Cherry
SCT_0468	Wild Cherry
SCT_0470	Wild Cherry
SCT_0471	Wild Cherry
SCT_0477	Wild Cherry
SCT_0372	Wild
SCT_0378	Wild
SCT_0383	Wild
SCT_0388	Wild
SCT_0397	Wild
SCT_0401	Wild
SCT_0404	Wild
SCT_0405	Wild
SCT_0406	Wild
SCT_0407	Wild
SCT_0430	Wild
SCT_0437	Wild
SCT_0438	Wild
SCT_0472	Wild
SCT_0474	Wild
SCT_0494	Wild
